query,grade,id,snippet,notes
Is it ok to hear my heart beat?,3,4542:0,Why can I hear my heart beat louder after rigorous exercise,
Is it ok to hear my heart beat?,3,5264:0,Is there such a thing as a hard heart beat? (as opposed to a fast heart beat),
Is it ok to hear my heart beat?,2,5264:5,Would this 'harder' heat beat burn more calories than a normal strength heart beat at the same bpm?,
Is it ok to hear my heart beat?,3,825:0,Is it normal to feel your heart beat in your chest?,
Is it ok to hear my heart beat?,2,20236:0,"How does cold weather affect blood flow, heart beat, and heart attack?",
Is it ok to hear my heart beat?,3,825:0,Is it normal to feel your heart beat in your chest?,
Is it ok to hear my heart beat?,3,12427:3,"The other day when i woke up i felt my heart beating hard, and i occasionally feel my heart beating without touching it with my hands.",
Is it ok to hear my heart beat?,3,5264:2,After a heavy set of squats for instance I can hear my heart beating in my ears and feel it beating in my chest.,beating matched to beat
Is it ok to hear my heart beat?,3,825:1,"Is it normal for a person to at times feel their heart beat in their chest without actually placing their hand on their chest, while at other times not be able to (even though the pulse is strong, regular and consistent in both instances) or is this potentially a symptom of a cardiovascular disease?",
Is it ok to hear my heart beat?,3,4542:1,As I understand exercise increases hear rate. Why should an increase in hear rate feel like the heart is also beating louder (not just faster).,
what are the food combinations to avoid?,3,8850:1,I read that the combination of bananas and eggs is poisonous.,<nutrition><food-poisoning>,
what are the food combinations to avoid?,1,18504:4,in different combinations and looked into research articles related to breast cancer and its metastases).,
what are the food combinations to avoid?,1,5708:3,Is the stomach acid combined with healthy food the same as stomach acid combined with unhealthy food?,<digestion><stomach>,
what are the food combinations to avoid?,1,5708:4,The endpoint is that I'm trying to find out will stomach acid combined with healthy food make less damage to the esophagus than the stomach acid combined with unhealthy food or is stomach acid just stomach acid no matter which type of food it interacts with?,<digestion><stomach>,
what are the food combinations to avoid?,1,18921:0,"Foods/drugs/vitamins to avoid, or not avoid, for tardive dyskinesia",
what are the food combinations to avoid?,1,18921:5,"Is there anything known on foods/vitamins/drugs to avoid, or not avoid, in a similar vein to this study?",
what are the food combinations to avoid?,2,17340:4,What foods to avoid or supplements to take?,
what are the food combinations to avoid?,1,1469:0,"What is Junk food? When doctors advise to avoid junk food, what does that mean?",no match on ‘combinations’
what are the food combinations to avoid?,1,16067:2,"What does this mean? Is there now a documented food safety risk for Gatorade, and that perhaps I should avoid drinking it?",no match on ‘combinations’
what are the food combinations to avoid?,1,19424:35,How does one explain 'avoid purines in food' if purine-rich plant food isn't counting? How does one explain 'avoid alcohol' if alcoholic wine seems fine?,no match on ‘combinations’
what are the food combinations to avoid?,2,1157:1,"As a pollen allergic, should I avoid of eating some kinds of food which may increase pollen allergy symptoms?",no match on ‘combinations’
what are the food combinations to avoid?,1,24361:5,"Now, I am really curious; could you avoid food poisoning when eating bad oysters by drinking unhealthy amounts of hard liquor at the same time?",no match on ‘combinations’
what are the food combinations to avoid?,1,1469:1,"A doctor has advised my friend to leave off eating junk food. Following are things which he eats generally, but which are junk among them?",food avoid → junk (?)
what are the food combinations to avoid?,1,15145:2,"elimination diets, a low carb diet, intermittent fasting and grain elimination.",
what are the food combinations to avoid?,1,1187:0,Are there any sustainable alternatives to eating food?,
what are the food combinations to avoid?,1,9539:2,"Assortment of the chains typically include the following: hamburgers/whoppers, cheeseburgers, sandwiches, French fries (chips), fried chicken and so on.",
what are the food combinations to avoid?,1,13041:6,Or is it not advisable to eat any of the food?,
what are negative eye powers?,2,27515:0,Why do optometrists recommend dilation when the power of a lens can be measured even by a ruler?,<eye><ophthalmology><optometry><eye-exam>,
what are negative eye powers?,2,27515:1,"I don't understand why optometrists dilate your eyes, which is a very annoying thing, when eye power can be measured by just a ruler at your home as suggested by this, which just uses a 100/(distance after which your blur horizon begins), which logically is the correct method, as suggested by physics laws governing lenses.",<eye><ophthalmology><optometry><eye-exam>,
what are negative eye powers?,1,20794:0,Why can't we just close our eyes periodically to reduce eye strain?,
what are negative eye powers?,1,8890:0,Can eye drops cure dry eyes?,
what are negative eye powers?,1,18561:0,What are the official eye colors?,
what are negative eye powers?,1,20794:2,"From what I understand, it works by allowing the muscles the eye uses to relax. However, I don't follow why the same can't be accomplished by just closing the eyes.",
what are negative eye powers?,3,3355:4,Could someone explain me how what eye power -6 means in respect to closeness of blindness? What can be the minimum negative eye power and maximum positive eye power of an eye?,
what are negative eye powers?,3,957:5,"I saw negative integers (like -5,-2) sometimes, but I didn't understand how they work exactly. I guess they measure how bad your eyesight is compare to average. My optometrist used dioptries.",
what are negative eye powers?,1,21337:2,"How accurate are the tests? What are the odds that Sophie Trudeau's results are a false positive, or that Justin Trudeau's negative result is a false negative?",no match on ‘eye powers’
what are negative eye powers?,1,18872:2,"https://www. fixmanboobs.com. au/the-anti-gynecomastia-powers-of-turmeric/) claiming that the ingredient curcumin in turmeric is an effective estrogen blocker, and hence can be used to reduce gynecomastia (male breasts).",no match on ‘eye’
what are negative eye powers?,1,4058:1,"I constantly crack (or pop) my knuckles. Are there any negative (or positive) side effects to it? I like to crack my knuckles, but I want to stop if it can have negative effects.",
what are negative eye powers?,2,3355:1,One of my friends went to an eye specialist for checkup and the doctor told him that his eye power changed from -6 from -4.5.,
