query,grade,rank,id,snippet,tags,notes
Is it ok to hear my heart beat?,,1,4542:0,Why can I hear my heart beat louder after rigorous exercise,<blood-pressure>,
Is it ok to hear my heart beat?,,2,5264:0,Is there such a thing as a hard heart beat? (as opposed to a fast heart beat),<cardiology>,
Is it ok to hear my heart beat?,,3,5264:5,Would this 'harder' heat beat burn more calories than a normal strength heart beat at the same bpm?,<cardiology>,
Is it ok to hear my heart beat?,,4,825:0,Is it normal to feel your heart beat in your chest?,<cardiology>,
Is it ok to hear my heart beat?,,5,20236:0,"How does cold weather affect blood flow, heart beat, and heart attack?",<heart-attack>,
what are the food combinations to avoid?,,1,1469:0,"What is Junk food? When doctors advise to avoid junk food, what does that mean?",<food-safety>,
what are the food combinations to avoid?,,2,16067:2,"What does this mean? Is there now a documented food safety risk for Gatorade, and that perhaps I should avoid drinking it?",<cancer><food-safety>,
what are the food combinations to avoid?,,3,19424:35,How does one explain 'avoid purines in food' if purine-rich plant food isn't counting? How does one explain 'avoid alcohol' if alcoholic wine seems fine?,<diet><alcohol><epidemiology><gout>,
what are the food combinations to avoid?,,4,1157:1,"As a pollen allergic, should I avoid of eating some kinds of food which may increase pollen allergy symptoms?",<allergy><food-safety><pollen>,
what are the food combinations to avoid?,,5,24361:5,"Now, I am really curious; could you avoid food poisoning when eating bad oysters by drinking unhealthy amounts of hard liquor at the same time?",<alcohol><food-poisoning>,
what are negative eye powers?,,1,3355:4,Could someone explain me how what eye power -6 means in respect to closeness of blindness? What can be the minimum negative eye power and maximum positive eye power of an eye?,<eye>,
what are negative eye powers?,,2,957:5,"I saw negative integers (like -5,-2) sometimes, but I didn't understand how they work exactly. I guess they measure how bad your eyesight is compare to average. My optometrist used dioptries.",<eye><optometry>,
what are negative eye powers?,,3,21337:2,"How accurate are the tests? What are the odds that Sophie Trudeau's results are a false positive, or that Justin Trudeau's negative result is a false negative?",<covid-19>,
what are negative eye powers?,,4,18872:2,"https://www. fixmanboobs.com. au/the-anti-gynecomastia-powers-of-turmeric/) claiming that the ingredient curcumin in turmeric is an effective estrogen blocker, and hence can be used to reduce gynecomastia (male breasts).",<natural-remedy><testosterone><estrogen><gynecomastia-man-boobs>,
what are negative eye powers?,,5,20794:3,"Does it not let the muscles they eye use relax? If so, why not?",<eye><eye-strain>,
How many calories do I have to burn to lose 1 Kilogram in weight?,,1,5394:1,"How many Calories Deficit Equals 1 KG Lost? I intend to loose weight and burn 500 calories daily in Gym. How many Calories Deficit Equals 1 KG Weight Loss, approximately?",<weight-loss><body-fat><body-weight>,
How many calories do I have to burn to lose 1 Kilogram in weight?,,2,1284:4,My thinking is from what I know is weight lost is dependent on how many calories you put into yourselves and how many you burn off.,<diet>,
How many calories do I have to burn to lose 1 Kilogram in weight?,,3,14556:0,How many calories does it burn to regrow a liver?,<liver><calories><energy><organ-donation>,
How many calories do I have to burn to lose 1 Kilogram in weight?,,4,5394:0,"How many Calories Deficit Equals 1 KG Loss, approximately",<weight-loss><body-fat><body-weight>,
How many calories do I have to burn to lose 1 Kilogram in weight?,,5,14714:0,How should I account for a blood donation while couting calories/trying to lose weight?,<calories><blood-donation>,
prevent stomach ache when taking medication,,1,4433:0,"When is a stomach ""empty"" for the purpose of taking medication?",<medications><digestion>,
prevent stomach ache when taking medication,,2,9520:0,Stomach ache after drinking tea,<caffeine><tea>,
prevent stomach ache when taking medication,,3,4525:1,"Very often, doctors or pharmacists will advise patients to take certain pills with food to ""act as a buffer"" so the patient is less likely to get a stomach ache from taking the pill.",<medications><digestion><stomach>,
prevent stomach ache when taking medication,,4,9520:1,I always get a stomach-ache after drinking tea that contains actual tea (so not from fruit tea or herbal tea).,<caffeine><tea>,
prevent stomach ache when taking medication,,5,9520:3,How can I find out which one causes the stomach ache? I don't like cola and coffee so never really drink other things with caffeine.,<caffeine><tea>,
is it ok to use a pillow?,,1,13407:0,Is it OK to use soap to clean penis?,<penis>,
is it ok to use a pillow?,,2,13407:1,I have something white dots on my penis. Is it OK to use soap to clean penis? Or what should you use to clean penis?,<penis>,
is it ok to use a pillow?,,3,1222:5,Or is it ok assuming I do not use them too much?,<dentistry><side-effects><micronutrients><oral-health>,
is it ok to use a pillow?,,4,5044:11,"Sleep benefits: Some argue that pillows interfere with quality sleep, especially when people use the wrong pillow.",<sleep><spine><position>,
is it ok to use a pillow?,,5,8968:0,Is it ok to use sterile eye drops every day,<eye><allergy><practice-of-medicine>,
my urine is very yellow. Is this a problem?,,1,99:0,Why does my antibiotic make my urine yellow?,<side-effects><coloration-discoloration><antibiotics><urine><urinary-system>,
my urine is very yellow. Is this a problem?,,2,99:1,"When I was given antibiotics for fever by my doctor, I noticed that my urine is unusually yellow. Why is that?",<side-effects><coloration-discoloration><antibiotics><urine><urinary-system>,
my urine is very yellow. Is this a problem?,,3,7177:5,"I can reduce the problem by drinking plenty of water before going to bed, but I will wake up to pee in the middle of the night and the urine is very diluted so I assume I drank more water than needed to keep the salt balance (I've read 0.6 % blood salt concentration), but I can still very much feel the effect.",<nutrition><sleep><salt>,
my urine is very yellow. Is this a problem?,,4,13662:0,"Why are parts of my teeth super white, but most yellow?",<dentistry>,
my urine is very yellow. Is this a problem?,,5,11995:1,I came from my doctor and he did a urine sample and said there was blood in my urine.,<blood><urine><kidney>,
is it ok to go to the pool after I had a piercing?,,1,5733:2,I swim regularly (4-5 times a week) in a swimming pool and I was wondering if there is any problem with swimming during the healing period of the piercing.,<recovery><swimming><nipples><body-piercings>,
is it ok to go to the pool after I had a piercing?,,2,1270:1,"OK, I have an ear infection. The doctor says that I should not allow any water to go into my ears.",<infection><otolaryngology><ear><swimming>,
is it ok to go to the pool after I had a piercing?,,3,14531:1,"To their horror, they saw two bodies in the deep end of the pool. They all jumped into the pool and pulled out the bodies.",<death><drowning>,
is it ok to go to the pool after I had a piercing?,,4,5733:0,Is it safe to swim during the healing period of a nipple piercing?,<recovery><swimming><nipples><body-piercings>,
is it ok to go to the pool after I had a piercing?,,5,5733:4,"P.S. I haven't still decided if I am going to get the piercing or not, that's the reason why I haven't still asked a professional about it.",<recovery><swimming><nipples><body-piercings>,
does gun powder help sealing a wound?,,1,66:1,I have used vitamin E to help prevent scarring. Are there any other topical applications that can assist wound healing and prevent scarring?,<wound><wound-care>,
does gun powder help sealing a wound?,,2,4335:3,"The solution presented in the film is to rub some gunpowder (assuming period accuracy, this would be early 1800's black powder, not the modern stuff) into the wound and then ignite it.",<first-aid><stitches><penetrate-trauma-wound><exsanguination>,
does gun powder help sealing a wound?,,3,12908:1,"In case a victim of an accident or gun shot or other trauma of that sort is heavily bleeding, does it increase survival chances to tell them to stay awake?",<bleeding><alertness-level><penetrate-trauma-wound><unconsciousness><exsanguination>,
does gun powder help sealing a wound?,,4,17010:7,"While trying to research this, I found a help page of the German Red Cross stating that it is forbidden to (a) touch, (b) clean, (c) apply powder, creams, sprays, disinfectants and (d) remove foreign matter.",<first-aid>,
does gun powder help sealing a wound?,,5,9101:4,What is the absorption rate of powder vitamin?,<micronutrients>,
is it ok to eat after brushing my teeth at night?,,1,20822:10,"Is there any medical significance to brushing your teeth after waking up, if you're not going to eat until lunch?",<dentistry><brushing-teeth>,
is it ok to eat after brushing my teeth at night?,,2,10013:2,I brush two times a day once in the morning and once in the night. But I am still having yellow stains in my teeth.,<dentistry><coloration-discoloration><removal><brushing-teeth><bleach-teeth-whitening>,
is it ok to eat after brushing my teeth at night?,,3,12800:3,"Further, can I eat potatoes and breads without brushing ever again and not have any adverse effects on my teeth?",<dentistry><sugar>,
