query,grade,rank,id,snippet,tags,notes
Is it ok to hear my heart beat?,,1,5264:2,After a heavy set of squats for instance I can hear my heart beating in my ears and feel it beating in my chest.,<cardiology>,
Is it ok to hear my heart beat?,,2,4542:0,Why can I hear my heart beat louder after rigorous exercise,<blood-pressure>,
Is it ok to hear my heart beat?,,3,4542:1,As I understand exercise increases hear rate. Why should an increase in hear rate feel like the heart is also beating louder (not just faster).,<blood-pressure>,
Is it ok to hear my heart beat?,,4,5264:0,Is there such a thing as a hard heart beat? (as opposed to a fast heart beat),<cardiology>,
Is it ok to hear my heart beat?,,5,12427:3,"The other day when i woke up i felt my heart beating hard, and i occasionally feel my heart beating without touching it with my hands.",<heartbeat>,
what are the food combinations to avoid?,,1,5708:3,Is the stomach acid combined with healthy food the same as stomach acid combined with unhealthy food?,<digestion><stomach>,
what are the food combinations to avoid?,,2,18921:0,"Foods/drugs/vitamins to avoid, or not avoid, for tardive dyskinesia",<neurology>,
what are the food combinations to avoid?,,3,5708:4,The endpoint is that I'm trying to find out will stomach acid combined with healthy food make less damage to the esophagus than the stomach acid combined with unhealthy food or is stomach acid just stomach acid no matter which type of food it interacts with?,<digestion><stomach>,
what are the food combinations to avoid?,,4,1469:0,"What is Junk food? When doctors advise to avoid junk food, what does that mean?",<food-safety>,
what are the food combinations to avoid?,,5,8850:1,I read that the combination of bananas and eggs is poisonous.,<nutrition><food-poisoning>,
what are negative eye powers?,,1,3355:4,Could someone explain me how what eye power -6 means in respect to closeness of blindness? What can be the minimum negative eye power and maximum positive eye power of an eye?,<eye>,
what are negative eye powers?,,2,3355:0,What does eye power -6 means and how close to blindness is it?,<eye>,
what are negative eye powers?,,3,27515:1,"I don't understand why optometrists dilate your eyes, which is a very annoying thing, when eye power can be measured by just a ruler at your home as suggested by this, which just uses a 100/(distance after which your blur horizon begins), which logically is the correct method, as suggested by physics laws governing lenses.",<eye><ophthalmology><optometry><eye-exam>,
what are negative eye powers?,,4,3355:1,One of my friends went to an eye specialist for checkup and the doctor told him that his eye power changed from -6 from -4.5.,<eye>,
what are negative eye powers?,,5,27515:0,Why do optometrists recommend dilation when the power of a lens can be measured even by a ruler?,<eye><ophthalmology><optometry><eye-exam>,
How many calories do I have to burn to lose 1 Kilogram in weight?,,1,5394:1,"How many Calories Deficit Equals 1 KG Lost? I intend to loose weight and burn 500 calories daily in Gym. How many Calories Deficit Equals 1 KG Weight Loss, approximately?",<weight-loss><body-fat><body-weight>,
How many calories do I have to burn to lose 1 Kilogram in weight?,,2,1284:4,My thinking is from what I know is weight lost is dependent on how many calories you put into yourselves and how many you burn off.,<diet>,
How many calories do I have to burn to lose 1 Kilogram in weight?,,3,5394:0,"How many Calories Deficit Equals 1 KG Loss, approximately",<weight-loss><body-fat><body-weight>,
How many calories do I have to burn to lose 1 Kilogram in weight?,,4,14273:1,"So, I recently learned about how exactly obesity is formed. I learned that if you consume too many calories but don't burn enough of them, your body will start to form fat.",<weight><overweight><obesity>,
